Date,Open,High,Low,Close,Adj. Close,Change,Volume
28-Jul-25,715.2,724.74,712.68,717.63,717.15,0.69%,"8,715,743"
25-Jul-25,716.92,720.65,711.9,712.68,712.2,-0.30%,"8,271,698"
24-Jul-25,717.05,723.62,714,714.8,714.32,0.17%,"10,920,836"
23-Jul-25,706.37,714.63,704.93,713.58,713.1,1.24%,"8,771,615"
22-Jul-25,716.19,716.6,701.41,704.81,704.33,-1.14%,"8,921,064"
21-Jul-25,706.8,717,705.76,712.97,712.48,1.23%,"9,404,391"
18-Jul-25,702.19,704.71,691.65,704.28,703.8,0.41%,"12,779,752"
17-Jul-25,704.39,705.9,697.11,701.41,700.94,-0.21%,"11,803,264"
16-Jul-25,713.37,713.97,699.27,702.91,702.44,-1.05%,"13,067,627"
15-Jul-25,723.9,724.47,709.82,710.39,709.91,-1.46%,"11,529,511"
14-Jul-25,717.6,728,716.55,720.92,720.43,0.48%,"8,939,399"
11-Jul-25,722.5,725.16,709.7,717.51,717.03,-1.34%,"10,873,880"
10-Jul-25,731.55,735.8,719.6,727.24,726.75,-0.76%,"9,922,249"
9-Jul-25,722.72,737.53,722.72,732.78,732.29,1.68%,"11,417,963"
8-Jul-25,721.57,722.91,714.81,720.67,720.18,0.32%,"7,770,693"
7-Jul-25,717.6,727,713.51,718.35,717.87,-0.09%,"9,457,080"
3-Jul-25,726.61,729.03,714.42,719.01,718.53,0.76%,"8,601,653"
2-Jul-25,715.33,720.3,712.8,713.57,713.09,-0.79%,"9,336,740"
1-Jul-25,736.88,737.75,715.37,719.22,718.73,-2.56%,"13,431,248"
30-Jun-25,744.55,747.9,734.25,738.09,737.59,0.61%,"15,402,105"
27-Jun-25,726.52,735.43,725.86,733.63,733.14,1.04%,"18,775,735"
26-Jun-25,714.36,728.22,711.05,726.09,725.6,2.46%,"13,964,793"
25-Jun-25,713.32,716.58,705.38,708.68,708.2,-0.49%,"9,320,436"
24-Jun-25,704.89,713.19,702.11,712.2,711.72,1.96%,"13,823,180"
23-Jun-25,683.69,699.05,678.75,698.53,698.06,2.37%,"11,080,055"
20-Jun-25,700.75,701.82,678.67,682.35,681.89,-1.93%,"22,538,640"
18-Jun-25,698.18,701.59,694.9,695.77,695.3,-0.21%,"10,068,255"
17-Jun-25,702,705.97,696.06,697.23,696.76,-0.70%,"10,066,110"
16-Jun-25,699.33,707.15,693.51,702.12,701.65,2.82%,"13,720,288"
13-Jun-25,687.95,694.57,681.01,682.87,681.88,-1.51%,"9,274,441"
12-Jun-25,693.3,695.38,687,693.36,692.36,-0.11%,"7,322,730"
11-Jun-25,703.71,708.87,691.99,694.14,693.14,-1.18%,"9,582,508"
10-Jun-25,701.35,703.23,691.56,702.4,701.39,1.20%,"10,850,146"
9-Jun-25,698.46,705.19,693.94,694.06,693.06,-0.52%,"12,773,221"
6-Jun-25,696.17,702.81,691.87,697.71,696.7,1.91%,"11,727,961"
5-Jun-25,691.66,694.38,682.25,684.62,683.63,-0.48%,"13,120,335"
4-Jun-25,669.32,689,668.57,687.95,686.96,3.16%,"14,031,931"
3-Jun-25,671.45,675.58,665.03,666.85,665.89,-0.60%,"11,585,031"
2-Jun-25,644.39,673.26,644.26,670.9,669.93,3.62%,"15,766,258"
30-May-25,642.5,649.41,632.78,647.49,646.56,0.38%,"16,240,951"
29-May-25,651.65,653.32,639.5,645.05,644.12,0.23%,"8,883,436"
28-May-25,642.6,650.88,642.55,643.58,642.65,0.20%,"9,042,874"
27-May-25,635.41,643.08,632.75,642.32,641.39,2.43%,"9,508,367"
23-May-25,624,632.45,622.65,627.06,626.16,-1.49%,"8,454,067"
22-May-25,634.05,643.25,630.71,636.57,635.65,0.17%,"8,228,443"
21-May-25,631.79,646.61,630.17,635.5,634.58,-0.25%,"11,464,569"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
