Date,Open,High,Low,Close,Adj. Close,Change,Volume
20-Oct-25,183.13,185.2,181.73,182.64,182.64,-0.32%,"128,544,711"
17-Oct-25,180.18,184.1,179.75,183.22,183.22,0.78%,"173,135,217"
16-Oct-25,182.23,183.28,179.77,181.81,181.81,1.10%,"179,723,309"
15-Oct-25,184.8,184.87,177.29,179.83,179.83,-0.11%,"214,450,482"
14-Oct-25,184.77,184.8,179.7,180.03,180.03,-4.40%,"205,641,380"
13-Oct-25,187.97,190.11,185.96,188.32,188.32,2.82%,"153,482,755"
10-Oct-25,193.51,195.62,182.05,183.16,183.16,-4.89%,"268,774,359"
9-Oct-25,192.23,195.3,191.06,192.57,192.57,1.83%,"182,997,234"
8-Oct-25,186.57,189.6,186.54,189.11,189.11,2.20%,"130,168,861"
7-Oct-25,186.23,189.06,184,185.04,185.04,-0.27%,"140,088,008"
6-Oct-25,185.5,187.23,183.33,185.54,185.54,-1.11%,"157,678,104"
3-Oct-25,189.19,190.36,185.38,187.62,187.62,-0.67%,"137,596,896"
2-Oct-25,189.6,191.05,188.06,188.89,188.89,0.88%,"136,805,821"
1-Oct-25,185.24,188.14,183.9,187.24,187.24,0.35%,"173,844,901"
30-Sep-25,182.08,187.35,181.48,186.58,186.58,2.60%,"236,981,032"
29-Sep-25,180.43,184,180.32,181.85,181.85,2.05%,"193,063,455"
26-Sep-25,178.17,179.77,174.93,178.19,178.19,0.28%,"148,573,732"
25-Sep-25,174.48,180.26,173.13,177.69,177.69,0.41%,"191,586,733"
24-Sep-25,179.77,179.78,175.4,176.97,176.97,-0.82%,"143,564,116"
23-Sep-25,181.97,182.42,176.21,178.43,178.43,-2.82%,"192,559,552"
22-Sep-25,175.3,184.55,174.71,183.61,183.61,3.93%,"269,637,001"
19-Sep-25,175.77,178.08,175.18,176.67,176.67,0.24%,"237,182,143"
18-Sep-25,173.98,177.1,172.96,176.24,176.24,3.49%,"191,763,313"
17-Sep-25,172.64,173.2,168.41,170.29,170.29,-2.62%,"211,843,817"
16-Sep-25,177,177.5,174.38,174.88,174.88,-1.61%,"140,737,775"
15-Sep-25,175.67,178.85,174.51,177.75,177.75,-0.04%,"147,061,559"
12-Sep-25,177.77,178.6,176.45,177.82,177.82,0.37%,"124,911,026"
11-Sep-25,179.68,180.28,176.48,177.17,177.17,-0.09%,"151,159,274"
10-Sep-25,176.64,179.29,175.47,177.33,177.32,3.85%,"226,852,020"
9-Sep-25,169.09,170.98,166.74,170.76,170.75,1.46%,"157,548,392"
8-Sep-25,167.55,170.96,167.35,168.31,168.3,0.77%,"163,769,133"
5-Sep-25,168.03,169.03,164.07,167.02,167.01,-2.70%,"224,441,435"
4-Sep-25,170.57,171.86,169.41,171.66,171.65,0.61%,"141,670,144"
3-Sep-25,171.06,172.41,168.88,170.62,170.61,-0.09%,"164,424,873"
2-Sep-25,170,172.38,167.22,170.78,170.77,-1.95%,"231,164,853"
29-Aug-25,178.11,178.15,173.15,174.18,174.17,-3.32%,"243,257,873"
28-Aug-25,180.82,184.47,176.41,180.17,180.16,-0.79%,"281,787,824"
27-Aug-25,181.98,182.49,179.1,181.6,181.59,-0.09%,"235,518,949"
26-Aug-25,180.06,182.39,178.81,181.77,181.76,1.09%,"168,688,186"
25-Aug-25,178.35,181.91,176.57,179.81,179.8,1.02%,"163,012,789"
22-Aug-25,172.61,178.59,171.2,177.99,177.98,1.72%,"172,789,427"
21-Aug-25,174.85,176.9,173.81,174.98,174.97,-0.24%,"140,040,850"
20-Aug-25,175.17,176,168.8,175.4,175.39,-0.14%,"215,142,725"
19-Aug-25,182.43,182.5,175.49,175.64,175.63,-3.50%,"185,229,219"
18-Aug-25,180.6,182.94,180.59,182.01,182,0.86%,"132,007,959"
15-Aug-25,181.88,181.9,178.04,180.45,180.44,-0.86%,"156,602,161"
14-Aug-25,179.75,183.02,179.46,182.02,182.01,0.24%,"129,553,959"
13-Aug-25,182.62,183.97,179.35,181.59,181.58,-0.86%,"179,871,724"
12-Aug-25,182.96,184.48,179.46,183.16,183.15,0.60%,"145,729,202"
11-Aug-25,182.05,183.84,180.25,182.06,182.05,-0.35%,"138,323,191"
8-Aug-25,181.55,183.3,180.4,182.7,182.69,1.07%,"123,396,679"
7-Aug-25,181.57,183.88,178.8,180.77,180.76,0.75%,"151,878,365"
6-Aug-25,176.33,179.9,176.25,179.42,179.41,0.65%,"137,192,265"
5-Aug-25,179.62,180.26,175.9,178.26,178.25,-0.97%,"156,407,621"
4-Aug-25,175.16,180.2,174.52,180,179.99,3.62%,"148,174,609"
1-Aug-25,174.09,176.54,170.89,173.72,173.71,-2.33%,"204,528,985"
31-Jul-25,182.9,183.3,175.93,177.87,177.86,-0.78%,"221,685,446"
30-Jul-25,176.51,179.89,176.04,179.27,179.26,2.14%,"174,312,208"
29-Jul-25,177.96,179.38,175.02,175.51,175.5,-0.70%,"154,077,512"
28-Jul-25,174.02,177,173.97,176.75,176.74,1.87%,"140,023,521"
25-Jul-25,173.61,174.72,172.96,173.5,173.49,-0.14%,"122,316,792"
24-Jul-25,172.44,173.83,171.3,173.74,173.73,1.73%,"128,984,628"
23-Jul-25,169.53,171.26,167.97,170.78,170.77,2.25%,"154,082,197"
22-Jul-25,171.34,171.39,164.58,167.03,167.02,-2.54%,"193,114,327"
21-Jul-25,172.75,173.38,171,171.38,171.37,-0.60%,"123,126,136"
18-Jul-25,173.64,174.25,171.26,172.41,172.4,-0.34%,"146,456,416"
17-Jul-25,172.02,174.16,170.83,173,172.99,0.95%,"160,841,119"
16-Jul-25,171.06,171.75,168.9,171.37,171.36,0.39%,"158,831,509"
15-Jul-25,171.19,172.4,169.2,170.7,170.69,4.04%,"230,627,350"
14-Jul-25,165.37,165.49,162.02,164.07,164.06,-0.52%,"136,975,754"
11-Jul-25,163.72,167.89,163.47,164.92,164.91,0.50%,"193,633,263"
10-Jul-25,164.32,164.5,161.61,164.1,164.09,0.75%,"167,704,075"
9-Jul-25,161.22,164.42,161.16,162.88,162.87,1.80%,"183,656,443"
8-Jul-25,159.33,160.22,158.39,160,159.99,1.11%,"138,133,025"
7-Jul-25,158.2,159.31,157.34,158.24,158.23,-0.69%,"140,138,975"
3-Jul-25,158.37,160.98,157.77,159.34,159.33,1.33%,"143,716,055"
2-Jul-25,152.98,157.6,152.97,157.25,157.24,2.58%,"171,224,111"
1-Jul-25,156.29,157.2,151.49,153.3,153.29,-2.97%,"213,143,621"
30-Jun-25,158.4,158.66,155.96,157.99,157.98,0.15%,"194,580,316"
27-Jun-25,156.04,158.71,155.26,157.75,157.74,1.76%,"263,234,539"
26-Jun-25,155.98,156.72,154,155.02,155.01,0.46%,"198,145,746"
25-Jun-25,149.27,154.45,149.26,154.31,154.3,4.33%,"269,146,471"
24-Jun-25,145.56,147.96,145.5,147.9,147.89,2.59%,"187,566,121"
23-Jun-25,142.5,144.78,142.03,144.17,144.16,0.22%,"154,308,941"
