Date,Open,High,Low,Close,Adj. Close,Change,Volume
19-Sep-25,232.37,234.16,229.7,231.48,231.48,0.11%,"97,943,172"
18-Sep-25,232.5,233.48,228.79,231.23,231.23,-0.17%,"37,931,738"
17-Sep-25,233.77,234.3,228.71,231.62,231.62,-1.04%,"42,815,230"
16-Sep-25,232.94,235.9,232.23,234.05,234.05,1.13%,"38,203,912"
15-Sep-25,230.63,233.73,230.32,231.43,231.43,1.44%,"33,243,328"
12-Sep-25,230.35,230.79,226.29,228.15,228.15,-0.78%,"38,496,218"
11-Sep-25,231.49,231.53,229.34,229.95,229.95,-0.16%,"37,485,598"
10-Sep-25,237.52,237.68,229.1,230.33,230.33,-3.32%,"60,907,714"
9-Sep-25,236.36,238.85,235.08,238.24,238.24,1.02%,"27,033,778"
8-Sep-25,234.94,237.6,233.75,235.84,235.84,1.51%,"33,947,104"
5-Sep-25,235.19,236,231.93,232.33,232.33,-1.42%,"36,721,802"
4-Sep-25,231.19,235.77,230.78,235.68,235.68,4.29%,"59,391,779"
3-Sep-25,225.21,227.17,224.36,225.99,225.99,0.29%,"29,223,134"
2-Sep-25,223.52,226.17,221.83,225.34,225.34,-1.60%,"38,843,883"
29-Aug-25,231.32,231.81,228.16,229,229,-1.12%,"26,199,170"
28-Aug-25,229.01,232.71,228.02,231.6,231.6,1.08%,"33,679,585"
27-Aug-25,228.57,229.87,227.81,229.12,229.12,0.18%,"21,254,479"
26-Aug-25,227.11,229,226.02,228.71,228.71,0.34%,"26,105,373"
25-Aug-25,227.35,229.6,227.31,227.94,227.94,-0.39%,"22,633,695"
22-Aug-25,222.79,229.14,220.82,228.84,228.84,3.10%,"37,315,341"
21-Aug-25,222.65,222.78,220.5,221.95,221.95,-0.83%,"32,140,459"
20-Aug-25,227.12,227.27,220.92,223.81,223.81,-1.84%,"36,604,319"
19-Aug-25,230.09,230.53,227.12,228.01,228.01,-1.50%,"29,891,012"
18-Aug-25,230.23,231.91,228.33,231.49,231.49,0.20%,"25,248,890"
15-Aug-25,232.58,234.08,229.81,231.03,231.03,0.02%,"39,649,244"
14-Aug-25,227.4,233.11,227.02,230.98,230.98,2.86%,"61,545,824"
13-Aug-25,222,224.92,222,224.56,224.56,1.40%,"36,508,335"
12-Aug-25,222.23,223.5,219.05,221.47,221.47,0.08%,"37,254,707"
11-Aug-25,221.78,223.05,220.4,221.3,221.3,-0.62%,"31,646,222"
8-Aug-25,223.14,223.8,221.88,222.69,222.69,-0.20%,"32,970,477"
7-Aug-25,221,226.22,220.82,223.13,223.13,0.37%,"40,603,513"
6-Aug-25,214.7,222.65,213.74,222.31,222.31,4.00%,"54,823,045"
5-Aug-25,213.05,216.3,212.87,213.75,213.75,0.99%,"51,505,121"
4-Aug-25,217.4,217.44,211.42,211.65,211.65,-1.44%,"77,890,146"
1-Aug-25,217.21,220.44,212.8,214.75,214.75,-8.27%,"122,258,801"
31-Jul-25,235.77,236.53,231.4,234.11,234.11,1.70%,"104,357,263"
30-Jul-25,231.64,231.8,229.29,230.19,230.19,-0.35%,"32,993,273"
29-Jul-25,234.15,234.72,230.31,231.01,231.01,-0.76%,"33,716,220"
28-Jul-25,233.35,234.29,232.25,232.79,232.79,0.58%,"26,300,138"
25-Jul-25,232.22,232.48,231.18,231.44,231.44,-0.34%,"28,712,095"
24-Jul-25,229.17,236,228.64,232.23,232.23,1.73%,"42,902,266"
23-Jul-25,228.47,228.79,227.09,228.29,228.29,0.36%,"28,294,852"
22-Jul-25,229.68,230,226.35,227.47,227.47,-0.80%,"37,483,702"
21-Jul-25,225.84,229.69,225.65,229.3,229.3,1.40%,"40,297,556"
18-Jul-25,225.14,226.4,222.98,226.13,226.13,1.01%,"37,833,807"
17-Jul-25,223.32,224.5,222.51,223.88,223.88,0.31%,"31,855,831"
16-Jul-25,225.88,226.1,222.18,223.19,223.19,-1.40%,"39,535,926"
15-Jul-25,226.2,227.27,225.46,226.35,226.35,0.29%,"34,907,294"
14-Jul-25,225.07,226.66,224.24,225.69,225.69,0.30%,"35,702,597"
11-Jul-25,223.58,226.68,222.37,225.02,225.02,1.24%,"50,518,307"
10-Jul-25,221.55,222.79,219.7,222.26,222.26,-0.13%,"30,370,591"
9-Jul-25,221.07,224.29,220.47,222.54,222.54,1.45%,"38,155,121"
8-Jul-25,223.92,224,218.43,219.36,219.36,-1.84%,"45,691,987"
7-Jul-25,223,224.29,222.37,223.47,223.47,0.03%,"36,604,139"
3-Jul-25,221.82,224.01,221.36,223.41,223.41,1.59%,"29,632,353"
2-Jul-25,219.73,221.6,219.06,219.92,219.92,-0.24%,"30,894,178"
1-Jul-25,219.5,221.88,217.93,220.46,220.46,0.49%,"39,256,830"
30-Jun-25,223.52,223.82,219.12,219.39,219.39,-1.75%,"58,887,780"
27-Jun-25,219.92,223.3,216.74,223.3,223.3,2.85%,"119,217,138"
26-Jun-25,213.12,218.04,212.01,217.12,217.12,2.42%,"50,480,814"
25-Jun-25,214.62,216.03,211.11,211.99,211.99,-0.37%,"31,755,698"
24-Jun-25,212.14,214.34,211.05,212.77,212.77,2.06%,"38,378,757"
23-Jun-25,209.79,210.39,207.31,208.47,208.47,-0.58%,"37,311,725"
20-Jun-25,214.68,214.89,208.27,209.69,209.69,-1.33%,"75,350,733"
18-Jun-25,215.09,217.96,212.34,212.52,212.52,-1.07%,"44,360,509"
17-Jun-25,215.2,217.41,214.56,214.82,214.82,-0.59%,"32,086,262"
16-Jun-25,212.31,217.06,211.6,216.1,216.1,1.89%,"33,284,158"
13-Jun-25,209.96,214.05,209.62,212.1,212.1,-0.53%,"29,337,763"
12-Jun-25,211.78,213.58,211.33,213.24,213.24,0.02%,"27,639,991"
11-Jun-25,217.41,218.4,212.89,213.2,213.2,-2.03%,"39,325,981"
10-Jun-25,216.78,217.69,214.15,217.61,217.61,0.29%,"31,303,317"
9-Jun-25,214.75,217.85,212.88,216.98,216.98,1.60%,"38,102,502"
6-Jun-25,212.4,213.87,210.5,213.57,213.57,2.72%,"39,832,500"
5-Jun-25,209.55,212.81,207.56,207.91,207.91,0.33%,"51,979,243"
4-Jun-25,206.55,208.18,205.18,207.23,207.23,0.74%,"29,915,592"
3-Jun-25,207.11,208.95,205.03,205.71,205.71,-0.45%,"33,139,121"
2-Jun-25,204.98,207,202.68,206.65,206.65,0.80%,"29,113,319"
30-May-25,204.84,205.99,201.7,205.01,205.01,-0.34%,"51,679,406"
29-May-25,208.03,208.81,204.23,205.7,205.7,0.48%,"34,700,005"
28-May-25,205.92,207.66,204.41,204.72,204.72,-0.63%,"28,549,753"
27-May-25,203.09,206.69,202.19,206.02,206.02,2.50%,"34,892,044"
23-May-25,198.9,202.37,197.85,200.99,200.99,-1.04%,"33,393,545"
22-May-25,201.38,205.76,200.16,203.1,203.1,0.98%,"38,938,882"
21-May-25,201.61,203.46,200.06,201.12,201.12,-1.45%,"42,460,924"
