Date,Open,High,Low,Close,Adj. Close,Change,Volume
11-Sep-25,239.88,242.25,236.25,240.37,240.37,0.50%,"30,599,328"
10-Sep-25,238.9,241.66,237.85,239.17,239.17,-0.19%,"35,141,074"
9-Sep-25,234.17,240.47,233.23,239.63,239.63,2.39%,"38,060,959"
8-Sep-25,235.47,238.13,233.67,234.04,234.04,-0.41%,"32,474,743"
5-Sep-25,232.2,235.76,231.9,235,234.79,1.16%,"46,588,925"
4-Sep-25,229.65,232.37,226.11,232.3,232.09,0.71%,"51,684,167"
3-Sep-25,226.21,231.31,224.79,230.66,230.45,9.14%,"103,336,125"
2-Sep-25,208.44,211.68,206.2,211.35,211.16,-0.73%,"47,523,037"
29-Aug-25,210.51,214.65,210.2,212.91,212.72,0.60%,"39,728,364"
28-Aug-25,207.25,212.22,206.9,211.64,211.45,2.01%,"32,339,307"
27-Aug-25,205.7,208.91,205.65,207.48,207.29,0.16%,"23,022,850"
26-Aug-25,207.51,207.85,205.7,207.14,206.95,-0.65%,"28,464,130"
25-Aug-25,206.43,210.52,205.28,208.49,208.3,1.16%,"29,928,878"
22-Aug-25,202.73,208.54,201.3,206.09,205.91,3.17%,"42,827,040"
21-Aug-25,199.75,202.48,199.43,199.75,199.57,0.22%,"19,774,633"
20-Aug-25,200.73,201.28,196.6,199.32,199.14,-1.12%,"28,955,498"
19-Aug-25,203.03,203.44,199.96,201.57,201.39,-0.95%,"24,240,233"
18-Aug-25,204.2,205.27,202.49,203.5,203.32,-0.20%,"18,526,594"
15-Aug-25,203.85,206.44,201.28,203.9,203.72,0.47%,"34,931,422"
14-Aug-25,201.5,204.44,201.23,202.94,202.76,0.49%,"25,230,427"
13-Aug-25,204.13,204.53,197.51,201.96,201.78,-0.68%,"28,342,922"
12-Aug-25,201.37,204.5,200.59,203.34,203.16,1.16%,"30,424,452"
11-Aug-25,200.94,201.48,199.07,201,200.82,-0.21%,"25,832,435"
8-Aug-25,197.22,202.61,197.17,201.42,201.24,2.49%,"39,161,826"
7-Aug-25,197.06,197.54,194.33,196.52,196.34,0.22%,"26,321,811"
6-Aug-25,194.5,196.63,193.67,196.09,195.91,0.73%,"21,562,908"
5-Aug-25,194.71,197.86,193.89,194.67,194.5,-0.19%,"31,602,340"
4-Aug-25,190.29,195.27,190.12,195.04,194.87,3.12%,"31,547,350"
1-Aug-25,189.03,190.83,187.82,189.13,188.96,-1.44%,"34,832,181"
31-Jul-25,195.71,195.99,191.09,191.9,191.73,-2.36%,"51,329,163"
30-Jul-25,195.6,197.6,194.69,196.53,196.35,0.40%,"32,445,405"
29-Jul-25,192.43,195.92,192.08,195.75,195.58,1.65%,"41,389,153"
28-Jul-25,193.65,194.05,190.84,192.58,192.41,-0.31%,"38,139,504"
25-Jul-25,191.98,194.33,191.26,193.18,193.01,0.53%,"39,785,863"
24-Jul-25,197.03,197.95,191,192.17,192,1.02%,"74,881,687"
23-Jul-25,191.5,192.53,189.18,190.23,190.06,-0.58%,"58,681,948"
22-Jul-25,191.5,191.65,187.46,191.34,191.17,0.65%,"44,660,215"
21-Jul-25,186.25,190.29,186.15,190.1,189.93,2.72%,"45,803,129"
18-Jul-25,185.4,186.42,183.71,185.06,184.89,0.81%,"34,014,509"
17-Jul-25,182.14,184.06,180.48,183.58,183.42,0.33%,"31,992,565"
16-Jul-25,183.24,184.33,182.03,182.97,182.81,0.53%,"33,104,193"
15-Jul-25,182.81,184.22,181.6,182,181.84,0.24%,"33,448,251"
14-Jul-25,181.01,183.67,179.68,181.56,181.4,0.76%,"32,536,632"
11-Jul-25,176.79,181.43,176.48,180.19,180.03,1.45%,"34,282,922"
10-Jul-25,175.63,178.43,174.38,177.62,177.46,0.57%,"29,252,386"
9-Jul-25,175.25,179.44,172.77,176.62,176.46,1.30%,"43,025,594"
8-Jul-25,177.85,177.95,172.81,174.36,174.2,-1.37%,"40,442,535"
7-Jul-25,179.06,179.3,175.68,176.79,176.63,-1.53%,"34,175,648"
3-Jul-25,178.5,179.67,177.05,179.53,179.37,0.50%,"21,689,729"
2-Jul-25,175.54,178.86,175.07,178.64,178.48,1.59%,"29,128,947"
1-Jul-25,175.74,176.09,173.53,175.84,175.68,-0.22%,"35,904,526"
30-Jun-25,180.78,181.23,174.58,176.23,176.07,-1.29%,"63,378,856"
27-Jun-25,173.54,178.68,171.73,178.53,178.37,2.88%,"108,140,200"
26-Jun-25,172.43,173.69,169.94,173.54,173.38,1.68%,"31,796,690"
25-Jun-25,167.63,172.36,167.55,170.68,170.53,2.34%,"35,478,989"
24-Jun-25,166.92,168.22,166.13,166.77,166.62,0.96%,"40,524,312"
23-Jun-25,166.27,167.34,162,165.19,165.04,-0.87%,"57,670,985"
20-Jun-25,173.95,174.34,165.46,166.64,166.49,-3.85%,"75,659,917"
18-Jun-25,176.01,176.56,173.2,173.32,173.17,-1.49%,"28,707,524"
17-Jun-25,175.7,177.37,174.58,175.95,175.79,-0.46%,"24,973,043"
16-Jun-25,174.73,176.94,174.65,176.77,176.61,1.20%,"27,389,208"
13-Jun-25,172.44,177.13,172.39,174.67,174.51,-0.59%,"27,663,107"
12-Jun-25,176.18,176.72,174.75,175.7,175.54,-0.93%,"20,941,873"
